Title,School,Location,Descripion,Language,Type,Style,Read_More,Deadline,Start,Duration
MSc Data Analytics,Berlin School Of Business & Innovation,"Berlin, Germany","The 18-month MSc in Data Analytics is a new postgraduate programme in the field of data analytics at the Berlin Campus of BSBI. The course will provide students with key knowl
                                            ...
                        
                            +
                        



                    Featured
                    



                The 18-month MSc in Data Analytics is a new postgraduate programme in the field of data analytics at the Berlin Campus of BSBI. The course will provide students with key knowledge to work in data analytics but also provide them with the skills and confidence required to pursue their entrepreneurial dreams. The demand for data analytics experts has increased significantly over the last few years as companies become more dependent on data science for business understanding, data understanding, data preparation, modelling, evaluation, and deployment. This means there is ample opportunity for students to find a rewarding position within the field of data analytics.
                
                    -",English,MSc,Campus,https://www.masterstudies.com//MSc-Data-Analytics/Germany/Berlin-School-Of-Business-and-Innovation/,None,None,18 months
MSc Information Technology Management,Berlin School Of Business & Innovation,"Berlin, Germany","The MSc in Information Technology Management will help you to evaluate the impact of IT in business in society and the impact of emerging business models enabling students to 
                                            ...
                        
                            +
                        



                    Featured
                    



                The MSc in Information Technology Management will help you to evaluate the impact of IT in business in society and the impact of emerging business models enabling students to respond proactively to dynamic challenges by devising and implementing new tech strategies. As a student in this course, you will get the opportunity to develop your knowledge of a range of core business areas and IT management skills. This will underpin the extensive development of your academic, theoretical and practical knowledge of the data science and high-tech Industry.
                
                    -",English,MSc,Campus,https://www.masterstudies.com//MSc-Information-Technology-Management/Germany/Berlin-School-Of-Business-and-Innovation/,None,None,18 months
MSc Data Analytics,Berlin School Of Business & Innovation,"Berlin, Germany","BSBI is excited to announce our MSc Data Analytics programme is also available 100% online. The 18-month MSc in Data Analytics is a new postgraduate programme in the field of 
                                            ...
                        
                            +
                        



                    Featured
                    



                BSBI is excited to announce our MSc Data Analytics programme is also available 100% online. The 18-month MSc in Data Analytics is a new postgraduate programme in the field of data analytics at the Berlin Campus of BSBI. The course will provide students with key knowledge to work in data analytics but also provide them with the skills and confidence required to pursue their entrepreneurial dreams.
                
                    -",English,MSc,Online,https://www.onlinestudies.com//MSc-Data-Analytics/Germany/Berlin-School-Of-Business-and-Innovation/,None,None,18 months
MS Data Science,The George Washington University - Columbian College of Arts & Sciences,"Washington, USA","Data Science is an emerging field that aims to extract actionable insights from vast arrays of information. Drawing on techniques and theories from statistics, computer scienc
                                            ...
                        
                            +
                        



                    Featured
                    



                Data Science is an emerging field that aims to extract actionable insights from vast arrays of information. Drawing on techniques and theories from statistics, computer science and mathematics, the program focuses on the effective analysis and use of large data in the natural and social sciences.
                
                    -",English,MSc,Campus,,None,None,3 semesters
Master of Science in Computer Vision,Mohamed bin Zayed University of Artificial Intelligence - MBZUAI,"Abu Dhabi, United Arab Emirates","Upon completion of the program requirements, the graduate will be able to; Exhibit comprehensive and highly specialized knowledge of computer vision in line with the underlyin
                                            ...
                        
                            +
                        



                    Featured
                    



                Upon completion of the program requirements, the graduate will be able to; Exhibit comprehensive and highly specialized knowledge of computer vision in line with the underlying mathematical and computational principles; Perform a critical literature survey and develop new ideas by integrating multidisciplinary knowledge; Apply advanced problem-solving skills to analyze, design and execute solutions for the existing and new problems in computer vision faced by both industry and academia.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/Master-of-Science-in-Computer-Vision/United-Arab-Emirates/Mohamed-bin-Zayed-University-of-Artificial-Intelligence-MBZUAI/,30 Apr 2022,Aug 2022,2 - 4 years
Master of Science in Machine Learning,Mohamed bin Zayed University of Artificial Intelligence - MBZUAI,"Abu Dhabi, United Arab Emirates","Upon completion of the program requirements, the graduate will be able to; Exhibit a highly specialized understanding of the modern machine learning pipeline: data, models, al
                                            ...
                        
                            +
                        



                    Featured
                    



                Upon completion of the program requirements, the graduate will be able to; Exhibit a highly specialized understanding of the modern machine learning pipeline: data, models, algorithmic principles, and empirics; Achieve advanced skills in data-preprocessing and using various exploration and visualization tools; Demonstrate a critical awareness of the capabilities and limitations of the different forms of learning algorithms.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/Master-of-Science-in-Machine-Learning/United-Arab-Emirates/Mohamed-bin-Zayed-University-of-Artificial-Intelligence-MBZUAI/,30 Apr 2022,Aug 2022,2 - 4 years
Master of Science in Natural Language Processing,Mohamed bin Zayed University of Artificial Intelligence - MBZUAI,"Abu Dhabi, United Arab Emirates","NLP focuses on system development that allows computers to communicate with people using everyday language. Natural language generation systems convert information from the co
                                            ...
                        
                            +
                        



                    Featured
                    



                NLP focuses on system development that allows computers to communicate with people using everyday language. Natural language generation systems convert information from the computer database into readable or audible human language and vice versa. Such systems also enable sophisticated tasks such as inter-language translation, semantic understanding, text summarization and holding a dialog. The key applications of NLP algorithms include interactive voice response applications, automated translators, digital personal assistants (e.g., Siri, Cortana, Alexa), chatbots, and smart word processors.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/Master-of-Science-in-Natural-Language-Processing/United-Arab-Emirates/Mohamed-bin-Zayed-University-of-Artificial-Intelligence-MBZUAI/,30 Apr 2022,Aug 2022,2 - 4 years
Master of Science in Applied Data Science,University of San Diego Professional and Continuing Education,"San Diego, USA","The master of applied data science program has been developed by data science experts in close collaboration with key industry and government stakeholders to provide in-depth 
                                            ...
                        
                            +
                        



                    Featured
                    



                The master of applied data science program has been developed by data science experts in close collaboration with key industry and government stakeholders to provide in-depth practical and technical training designed to position graduates for career success in this vitally important and fast-growing field.
                
                    -",English,MSc,Online,https://www.onlinestudies.com/Master-of-Science-in-Applied-Data-Science/USA/University-of-San-Diego-Professional-and-Continuing-Education/,11 Apr 2022,10 May 2022,20 months
Master in Defense and Security Systems Development,The Swedish Defence University (SEDU),"Stockholm, Sweden","This is an interdisciplinary, international Master’s program at the intersection of social sciences and engineering. The program has been developed in close collaboration with
                                            ...
                        
                            +
                        



                    Featured
                    



                This is an interdisciplinary, international Master’s program at the intersection of social sciences and engineering. The program has been developed in close collaboration with public authorities and companies in the defense and security sector in order to provide you with knowledge about how technical systems are integrated with people and organizations in order to deal with a complex threat environment.
                
                    -",English,Master,Campus,https://www.masterstudies.com/Master-in-Defense-and-Security-Systems-Development/Sweden/The-Swedish-Defence-University-(SEDU)/,None,Aug 2022,2 years
Master of Science in Information Management,Syracuse University - iSchool,"Syracuse, USA","The MS in Information Management (IM) from the iSchool uses an interdisciplinary approach to learning and understanding information technology. Here at the Syracuse University
                                            ...
                        
                            +
                        



                    Featured
                    



                The MS in Information Management (IM) from the iSchool uses an interdisciplinary approach to learning and understanding information technology. Here at the Syracuse University iSchool, we believe that information management means using your unique professional and academic background to develop an approach to information systems that will benefit people and organizations alike.
                
                    -",English,MSc,"Campus
Online",https://www.masterstudies.com/Master-of-Science-in-Information-Management/USA/Syracuse-University-iSchool/,None,None,2 years
MSc Software Engineering,"University of Bolton, Academic Centre – Ras Al Khaimah","Ras Al-Khaimah, United Arab Emirates","The Software Engineering Master's programme at the University of Bolton has been designed collaboratively working with industrial partners to ensure that students study a comp
                                            ...
                        
                            +
                        



                    Featured
                    



                The Software Engineering Master's programme at the University of Bolton has been designed collaboratively working with industrial partners to ensure that students study a comprehensive program of relevant industrial topics. The success of our post graduate students is directly related to the practical research aspects covered in the course laboratory work. Coursework throughout the course utilises realistic scenarios intended to prepare students for their post graduate careers after university. This applies both to the technical areas studied, but also the output required from the student such as technical proposals or reports to management.
                
                    -",English,Master,Campus,https://www.masterstudies.com/MSc-Software-Engineering/United-Arab-Emirates/University-of-Bolton-Academic-Centre-–-Ras-Al-Khaimah/,None,Sep 2022,None
Online MSc Information Systems Management - University of Salford (UK),Robert Kennedy College,"Salford, United Kingdom","This course gives you an opportunity to develop a detailed understanding of the role of information systems and technology (IS/T) in businesses around the world, along with a 
                                            ...
                        
                            +
                        



                    Featured
                    



                This course gives you an opportunity to develop a detailed understanding of the role of information systems and technology (IS/T) in businesses around the world, along with a critical awareness of current and emerging issues in this continually developing sector. You will learn from our expert team and external guest speakers, renowned for their specialist knowledge. You will also enjoy the programme’s emphasis on debate, critique and interaction with other students and staff. On completion of your course, you will have the necessary skills to become an effective IS/T manager with strategically valuable capabilities in IS/T.
                
                    -",English,MSc,Online,https://www.onlinestudies.com/Online-MSc-Information-Systems-Management-University-of-Salford-(UK)/United-Kingdom/RobertKennedyCollegeOnline/,None,None,None
Online MSc Computer Science and International Business - University of Cumbria (UK),Robert Kennedy College,"City of Carlisle, United Kingdom","The MSc Computer Science and International Business seeks to provide students with the opportunity to gain a deeper understanding of how business merges with technology, offer
                                            ...
                        
                            +
                        



                    Featured
                    



                The MSc Computer Science and International Business seeks to provide students with the opportunity to gain a deeper understanding of how business merges with technology, offering a blend of computer science subjects and core business topics. Digital Marketing, Leadership and Sustainability and International Marketing and Business Environment modules offer insights into the core business areas of running a business while Information Management, Advanced Databases and Internet of Things provide students with exposure to computer systems’ fundamentals.
                
                    -",English,MSc,Online,https://www.onlinestudies.com//Online-MSc-Computer-Science-and-International-Business-University-of-Cumbria-(UK)/United-Kingdom/RobertKennedyCollegeOnline/,None,None,None
Online MSc Data Analytics - University of Cumbria (UK),Robert Kennedy College,"City of Carlisle, United Kingdom","The MSc Data Analytics is designed to accommodate a broad audience of learners whose particular pursuits in data analytics might be either technical or business-focused. The p
                                            ...
                        
                            +
                        



                    Featured
                    



                The MSc Data Analytics is designed to accommodate a broad audience of learners whose particular pursuits in data analytics might be either technical or business-focused. The programme makes use of academic research, industry-defined practical problems, and case studies, to offer an approach that will genuinely foster a deeper knowledge of the subject area.
                
                    -",English,MSc,Online,,None,None,None
MSc in Big Data Technologies,Unicaf - University of East London,"London, United Kingdom","Graduates of the programme are expected to have a comprehensive and critical understanding of all concepts and activities for large-scale data analytics and to demonstrate exp
                                            ...
                        
                            +
                        



                    Featured
                    



                Graduates of the programme are expected to have a comprehensive and critical understanding of all concepts and activities for large-scale data analytics and to demonstrate expertise in Big Data Analytics and research applications, projects, and Machine Learning Techniques for extracting big insights and unique knowledge from Big Data stores. The programme aims to develop a critical understanding of complex computing application areas. Graduates are expected to be able to apply their skills in advanced topics, such as cloud computing and security aspects.
                
                    -",English,MSc,Online,https://www.onlinestudies.com/MSc-in-Big-Data-Technologies/United-Kingdom/Unicaf-University-of-East-London/,None,None,3 semesters
MSc in Computer Science,Unicaf - University of East London,"London, United Kingdom","This programme is designed to help students design and develop large-scale, software systems by developing their knowledge and research skills in IT, computer vision and data 
                                            ...
                        
                            +
                        



                    Featured
                    



                This programme is designed to help students design and develop large-scale, software systems by developing their knowledge and research skills in IT, computer vision and data analytics. Furthermore, it tackles emerging challenges in computer science, including its legal, social, ethical &amp; professional context. Graduates are expected to have developed the professional skills necessary for a senior career in the IT industry, as well as critical thinking and evidential reasoning, engineering judgement in the decision-making process and the ability to systematically analyse problems and implement effective solutions.
                
                    -",English,MSc,Online,https://www.onlinestudies.com/MSc-in-Computer-Science/United-Kingdom/Unicaf-University-of-East-London/,None,None,3 semesters
MSc in Data Science,Unicaf - University of East London,"London, United Kingdom","Designed to develop knowledge and research skills in Data Science, an understanding of the ecology within which a Data Scientist operates and professional skills in Data Scien
                                            ...
                        
                            +
                        



                    Featured
                    



                Designed to develop knowledge and research skills in Data Science, an understanding of the ecology within which a Data Scientist operates and professional skills in Data Science techniques, the programme also fosters reflective and analytic approaches in work-based practice and research.
                
                    -",English,MSc,Online,https://www.onlinestudies.com/MSc-in-Data-Science/United-Kingdom/Unicaf-University-of-East-London/,None,None,3 semesters
MSc in Information Security and Digital Forensics,Unicaf - University of East London,"London, United Kingdom","The programme focuses on developing skills in the field of information security and digital forensics, through a mixture of theory, advanced practical skills and experience. I
                                            ...
                        
                            +
                        



                    Featured
                    



                The programme focuses on developing skills in the field of information security and digital forensics, through a mixture of theory, advanced practical skills and experience. It aims to develop a sound knowledge and analytical abilities, which will prepare graduates for future employment at a senior level in the IT industry.
                
                    -",English,MSc,Online,https://www.onlinestudies.com/MSc-in-Information-Security-and-Digital-Forensics/United-Kingdom/Unicaf-University-of-East-London/,None,None,3 semesters
MSc Data Analytics,Queen's University Belfast,"Belfast, United Kingdom","Data Analytics is an exciting field of rapid development. Data is everywhere and continuing to grow massively, creating huge growth in demand for qualified experts to be able 
                                            ...
                        
                            +
                        



                    Featured
                    



                Data Analytics is an exciting field of rapid development. Data is everywhere and continuing to grow massively, creating huge growth in demand for qualified experts to be able to extract the real benefit from the data. The role of a data scientist is highly diverse overlapping many areas from computer science to the fundamentals of mathematics, statistics, modelling and analytics while also requiring the right skills to be able to see the detail, solve the problem (having specified the problem!), and communicate effectively the findings to colleagues to empower them to make decisions. The diversity of data analytics opens up many job opportunities from working in software companies, healthcare, banking, insurance, policing, tech companies to applying your knowledge to intelligent buildings and behaviour analytics of customers. The programme provides a balanced route to learning through a blend of academic study and lab sessions, with a heavy focus on practical engagement with industry. In the first and second semesters, you will study 6 modules full-time which include opportunities for blended and collaborative learning. In the third semester, you will undertake a significant industry-based project.
                
                    -",English,MSc,Campus,https://www.masterstudies.com//MSc-Data-Analytics/United-Kingdom/Queens-University-Belfast/,30 Jun 2022,Sep 2022,None
MSc Software Development,Queen's University Belfast,"Belfast, United Kingdom","The MSc in Software Development is designed in collaboration with industry to provide a year of intensive education in software development and is specifically designed for gr
                                            ...
                        
                            +
                        



                    Featured
                    



                The MSc in Software Development is designed in collaboration with industry to provide a year of intensive education in software development and is specifically designed for graduates of non-computing disciplines. It has an extremely high graduate employability rate and is the highest-rated MSc computing course for student satisfaction in the UK.
                
                    -",English,MSc,Campus,https://www.masterstudies.com//MSc-Software-Development/United-Kingdom/Queens-University-Belfast/,30 Jun 2022,Sep 2022,None
MSc Applied Cyber Security,Queen's University Belfast,"Belfast, United Kingdom","The world’s online security depends on you. Step up to the plate with this fascinating Master’s course, taught by experts at one of the world’s leading cyber security hubs. Th
                                            ...
                        
                            +
                        



                    Featured
                    



                The world’s online security depends on you. Step up to the plate with this fascinating Master’s course, taught by experts at one of the world’s leading cyber security hubs. This innovative programme is at the forefront of technical advances in cutting-edge cyber security topics such as cryptography, computer forensics, malware, networking, software development, as well as investigating the increasingly important legal and ethical issues in cyber security. This is an applied course, that mixes theoretical skills with practical work in the lab to give you hands-on experience.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-Applied-Cyber-Security/United-Kingdom/Queens-University-Belfast/,30 Jun 2022,Sep 2022,None
Master of Science in Applied Artificial Intelligence [Online],University of San Diego Professional and Continuing Education,"San Diego, USA","Motivated by the passion and commitment to training current and future artificial intelligence professionals for the important and fascinating work ahead, the University of Sa
                                            ...
                        
                            +
                        



                    Featured
                    



                Motivated by the passion and commitment to training current and future artificial intelligence professionals for the important and fascinating work ahead, the University of San Diego offers an innovative, online AI master’s degree program — the Master of Science in Applied Artificial Intelligence (MS-AAI). The strengths of our program include a significant emphasis on real-world applications, ethics, privacy, moral responsibility, and social good in designing AI-enabled systems.
                
                    -",English,MSc,Online,https://www.onlinestudies.com/Master-of-Science-in-Applied-Artificial-Intelligence-Online/USA/University-of-San-Diego-Professional-and-Continuing-Education/,11 Apr 2022,10 May 2022,20 months
Master's Degree Programme in Governance of Digitalization,Åbo Akademi University,"Turku, Finland","Effective and efficient management of digital transformation is critical to the success of enterprises and organizations in the contemporary society. In this master's program,
                                            ...
                        
                            +
                        



                    Featured
                    



                Effective and efficient management of digital transformation is critical to the success of enterprises and organizations in the contemporary society. In this master's program, you learn how digitalization enables new ways to create knowledge, to create value to the customer, new ways to configure organizational processes, and new ways to organize industry level co-operation between organizations.
                
                    -",English,Master,Campus,https://www.masterstudies.com/Masters-Degree-Programme-in-Governance-of-Digitalization/Finland/Åbo-Akademi-University/,None,Aug 2022,2 years
Master's Degree Programme in Information Technology,Åbo Akademi University,"Turku, Finland","The program gives you a broad education covering several different fields within computer science and computer engineering.
                                    


                    Featured
                    



                The program gives you a broad education covering several different fields within computer science and computer engineering.
                
                    -",English,Master,Campus,https://www.masterstudies.com/Masters-Degree-Programme-in-Information-Technology/Finland/Åbo-Akademi-University/,None,Aug 2022,2 years
Master's Degree Programme in on the Engineering of Data-intensive Intelligent Software Systems,Åbo Akademi University,"Turku, Finland                                                        +3 More","EDISS is an Erasmus Mundus Joint Master Degree (EMJMD) programme jointly delivered by Åbo Akademi University, University of the Balearic Islands, University of L’Aquila and Mä
                                            ...
                        
                            +
                        



                    Featured
                    



                EDISS is an Erasmus Mundus Joint Master Degree (EMJMD) programme jointly delivered by Åbo Akademi University, University of the Balearic Islands, University of L’Aquila and Mälardalen University.
                
                    -",English,Master,Campus,https://www.masterstudies.com/Masters-Degree-Programme-in-on-the-Engineering-of-Data-intensive-Intelligent-Software-Systems/Finland/Åbo-Akademi-University/,None,Aug 2022,2 years
Master of Science in Information Systems - STEM Program,University of San Francisco - School of Management,"San Francisco, USA","Gain a professional edge with the Information Systems master's degree — where technology and business strategy intersect. Become an expert in helping companies succeed with in
                                            ...
                        
                            +
                        



                    Featured
                    



                Gain a professional edge with the Information Systems master's degree — where technology and business strategy intersect. Become an expert in helping companies succeed with information technology. Earn your Master of Science in Information Systems at the University of San Francisco.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/Master-of-Science-in-Information-Systems-STEM-Program/USA/USF-School-of-Management/,None,None,16 - 21 months
Master of Business Analytics (MSc-BA),The International University in Geneva,"Geneva, Switzerland","Preparing students as the new generation of managers who understand data and fluent in data-driven decision making to solve real problems with Big Data in today’s digital worl
                                            ...
                        
                            +
                        



                    Featured
                    



                Preparing students as the new generation of managers who understand data and fluent in data-driven decision making to solve real problems with Big Data in today’s digital world.
                
                    -",English,MSc,"Campus
Online",https://www.masterstudies.com/Master-of-Business-Analytics-(MSc-BA)/Switzerland/IUG/,None,None,None
MSc in Artificial Intelligence,Radboud University,"Nijmegen, Netherlands","You will learn how to advance the study of brain and cognition by adopting typical AI tools, such as computer simulation, brain-computer interfacing and robotic design.
                                    


                    Featured
                    



                You will learn how to advance the study of brain and cognition by adopting typical AI tools, such as computer simulation, brain-computer interfacing and robotic design.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-in-Artificial-Intelligence/Netherlands/Radboud/,None,Sep 2022,2 years
MSc Applied Cyber Security with Professional Internship,Queen's University Belfast,"Belfast, United Kingdom","The world’s online security depends on you. Step up to the plate with this fascinating Master’s course, taught by experts at one of the world’s leading cybersecurity hubs. Thi
                                            ...
                        
                            +
                        



                    Featured
                    



                The world’s online security depends on you. Step up to the plate with this fascinating Master’s course, taught by experts at one of the world’s leading cybersecurity hubs. This innovative programme is at the forefront of technical advances in cutting-edge cybersecurity topics such as cryptography, computer forensics, malware, networking, software development, as well as investigating the increasingly important legal and ethical issues in cybersecurity. This is an applied course, which mixes theoretical skills with practical work in the lab to give you hands-on experience.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-Applied-Cyber-Security-with-Professional-Internship/United-Kingdom/Queens-University-Belfast/,30 Jun 2022,Sep 2022,2 years
MSc Bioinformatics and Computational Genomics,Queen's University Belfast,"Belfast, United Kingdom","The past decade has seen enormous advances in molecular and biomedical technology resulting in an ‘omics’ revolution. Bioinformatics covers the application of mathematics, sta
                                            ...
                        
                            +
                        



                    Featured
                    



                The past decade has seen enormous advances in molecular and biomedical technology resulting in an ‘omics’ revolution. Bioinformatics covers the application of mathematics, statistics and computing to biological and clinical scenarios. Algorithms and software tools are used to understand and interpret patient-derived ‘Big Data’.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-Bioinformatics-and-Computational-Genomics/United-Kingdom/Queens-University-Belfast/,31 Jul 2022,Sep 2022,None
Master's Degree in Communication and New Technologies Management [DCNT],ESIC Business & Marketing School,"Madrid, Spain","This University in Communication and New Technologies Management arises in order to satisfy the growing demand for qualified professionals in these insufficiently explored are
                                            ...
                        
                            +
                        



                    Featured
                    



                This University in Communication and New Technologies Management arises in order to satisfy the growing demand for qualified professionals in these insufficiently explored areas that offer new and attractive professional opportunities.
                
                    -",Spanish,Master,Campus,https://www.masterstudies.com/Masters-Degree-in-Communication-and-New-Technologies-Management-DCNT/Spain/ESIC-Business-and-Marketing-School/,None,Oct 2022,10 months
Master in Big Data and Business Analytics [MBDA],ESIC Business & Marketing School,"Madrid, Spain                                                        +1 More","The Master in Big Data and Business Analytics [MBDA] is designed to provide a deep and transversal vision of Big Data, specializing in the technologies used for the processing
                                            ...
                        
                            +
                        



                    Featured
                    



                The Master in Big Data and Business Analytics [MBDA] is designed to provide a deep and transversal vision of Big Data, specializing in the technologies used for the processing and design of data architectures together with the different analytical techniques to obtain the maximum value that business areas require. Through the learning by doing methodology you will learn by practicing with the most traditional and disruptive technologies in the world of data, with the aim of designing solutions that allow generating value in decision-making.
                
                    -",Spanish,Master,Campus,https://www.masterstudies.com/Master-in-Big-Data-and-Business-Analytics-MBDA/Spain/ESIC-Business-and-Marketing-School/,None,Oct 2022,11 months
Master of Science in Health Care Informatics,University of San Diego,"San Diego, USA","Now more than ever, professionals who know how to securely capture, analyze and use health information are in demand. Whether you currently work in the healthcare field or are
                                            ...
                        
                            +
                        



                    Featured
                    



                Now more than ever, professionals who know how to securely capture, analyze and use health information are in demand. Whether you currently work in the healthcare field or are new to the industry, the University of San Diego’s M.S. in Health Care Informatics can help you achieve your goals. As a HIMSS-Approved Education Partner, the University of San Diego provides all the technical and programmatic skills you need to succeed, plus business management skills that will cement your role as a trailblazer in the Health Care Informatics field.
                
                    -",English,MSc,"Campus
Online",https://www.masterstudies.com/Master-of-Science-in-Health-Care-Informatics/USA/University-of-San-Diego/,None,None,2 years
Master's degree in Computer Engineering for Robotics and Smart Industry,University of Verona,"Verona, Italy","The Master's degree in Computer Engineering for Robotics and Smart Industry provides students with knowledge and skills typical of information engineering enabling them to ide
                                            ...
                        
                            +
                        



                    Featured
                    



                The Master's degree in Computer Engineering for Robotics and Smart Industry provides students with knowledge and skills typical of information engineering enabling them to identify, formulate, analyze and solve problems related to the design, integration, and management of industrial production systems. The course aims to train graduates with advanced skills in strategic and innovative sectors, such as industrial robotics, cyber-physical systems, information processing of large amounts of data, digital manufacturing. The application domain includes the use of information technology in the industrial environment to automate manufacturing processes. The Master's program includes basic training, which deepens and extends the knowledge obtained in computer science and engineering Bachelor courses, providing the student with a set of tools suitable for tackling non-trivial problems in the industrial context, and a series of courses related to different professional paths. These teachings will provide state-of-the-art knowledge in dynamic systems, robotics, computational vision, machine learning and artificial intelligence, industrial plants, and advanced simulation and interaction techniques. Students will have the possibility of having practical training in specialized laboratories as well as internships in local companies.
                
                    -",English,Master,Campus,https://www.masterstudies.com/Masters-degree-in-Computer-Engineering-for-Robotics-and-Smart-Industry/Italy/University-of-Verona/,None,03 Oct 2022,2 years
Master's degree in Data Science,University of Verona,"Verona, Italy","The Master's Degree course in Data Science offers the student the multidisciplinary knowledge and skills necessary for the effective declination of mathematical / IT skills in
                                            ...
                        
                            +
                        



                    Featured
                    



                The Master's Degree course in Data Science offers the student the multidisciplinary knowledge and skills necessary for the effective declination of mathematical / IT skills in the analysis of data sets that are not necessarily heterogeneous and/or structured, achieving skills related to disciplines such as computer science, engineering, mathematics, statistics, management, law, humanities, and physics. Graduates will be able to develop methods and tools to manage and analyze Big Data, develop forecasting and decision-making models, and use the knowledge extracted to support strategic decision-making processes in various application areas.
                
                    -",English,Master,Campus,https://www.masterstudies.com/Masters-degree-in-Data-Science/Italy/University-of-Verona/,None,03 Oct 2022,2 years
Master's degree in Economics and Data Analysis,University of Verona,"Verona, Italy","The Master’s degree in Economics and Data Analysis, entirely taught in English, provides students with the main theoretical and empirical tools for economic and data analysis,
                                            ...
                        
                            +
                        



                    Featured
                    



                The Master’s degree in Economics and Data Analysis, entirely taught in English, provides students with the main theoretical and empirical tools for economic and data analysis, necessary in an ever-changing and open international economic environment. The program trains graduates to be able to critically interpret economic phenomena at a local and international level, and use the main modern empirical techniques for business and market analysis. Students will be able to develop such skills upon completion of an interdisciplinary program which includes, in the first year, core modules on microeconomic theory and its applications, mathematical and computational tools, public economics and international economic regulation, as well as on advanced data analysis and management, and econometrics.
                
                    -",English,Master,Campus,https://www.masterstudies.com/Masters-degree-in-Economics-and-Data-Analysis/Italy/University-of-Verona/,None,03 Oct 2022,2 years
AIMove Post-Master’s Degree: Artificial Intelligence and Movement in Industries and Creation,Mines ParisTech | PSL,"Île-de-France, France","AIMove Post Master's Degree is an accredited professional program, delivered by MINES ParisTech, PSL Université Paris and supported by a European consortium of IRCAM, CERTH, G
                                            ...
                        
                            +
                        



                    Featured
                    



                AIMove Post Master's Degree is an accredited professional program, delivered by MINES ParisTech, PSL Université Paris and supported by a European consortium of IRCAM, CERTH, Goldsmiths College University of London, IDIAP and the Aristotle University of Thessaloniki. The programme specialises in Human-centred AI (HAI) and enhances professional development and expertise in the fields of human-machine interaction and collaboration, internet of things, machine learning, pattern recognition, computer vision, VR/AR and mixed reality, and emergent related fields. This unique international program, taught entirely in English, brings together leading European professionals in this field and trains future HAI specialists in Human-Machine Collaboration.
                
                    -",English,Master,"Online & Campus Combined
Campus
Online",https://www.masterstudies.com/AIMove-Post-Master’s-Degree-Artificial-Intelligence-and-Movement-in-Industries-and-Creation/France/Mines-ParisTech-|-PSL/,None,None,12 months
MA Digital Business Management & Strategy,Fresenius University of Applied Sciences,"Heidelberg, Germany","Go digital! - This is not only the success principle of Facebook, WhatsApp, various online shops or SmartHome concepts, but also a fundamental requirement of today's world tha
                                            ...
                        
                            +
                        



                    Featured
                    



                Go digital! - This is not only the success principle of Facebook, WhatsApp, various online shops or SmartHome concepts, but also a fundamental requirement of today's world that almost every company has to face. Whether it's about development, production, logistics, marketing and sales, service or planning and organization - almost all industries and areas nowadays require a competent handling of digitization. Accordingly, experts are sought who can strategically control, coordinate or develop these digitized processes. The hybrid study concept on which the Digital Business Management and Strategy (MA) course is based was evaluated by the Evaluation Agency Baden-Württemberg (evalag) for the Ministry of Science, Research and the Arts Baden-Württemberg and, due to its high degree of innovation, was evaluated Promotion awarded.
                
                    -",German,MA,"Online & Campus Combined
Campus
Online",https://www.masterstudies.com/MA-Digital-Business-Management-and-Strategy/Germany/HS-Fresenius/,None,Oct 2022,4 semesters
MSc Psychology & Digital Transformation,Fresenius University of Applied Sciences,"Cologne, Germany                                                        +3 More","Digitization is revolutionizing our working world - and is constantly presenting companies with new challenges: What are the effects of digital transformation? How can you eff
                                            ...
                        
                            +
                        



                    Featured
                    



                Digitization is revolutionizing our working world - and is constantly presenting companies with new challenges: What are the effects of digital transformation? How can you efficiently manage and train employees in times of flexible working? How can digitization support us in nursing and healthcare, in business and in the market? And how can it lead to further innovations? The Master's program in Psychology &amp; Digital Transformation (M.Sc.) offers you the know-how to get to the bottom of these and many other questions: It links the core areas of psychology, business and technology and provides you with the skills to find new solutions for Developing companies, people and society. At the same time, you not only acquire a wide range of specialist knowledge, but also the practical skills required for business practice. This will open up promising career prospects in numerous industries and fields of activity for you after graduation.
                
                    -",German,MSc,Campus,https://www.masterstudies.com/MSc-Psychology-and-Digital-Transformation/Germany/HS-Fresenius/,None,Oct 2022,4 semesters
